one_month_accumulative,three_month_accumulative,"""zhima_score_num""","""anti_risk_score""",d0,d1,d7,d14,d30
12.0,21.0,556,33.0,1,0,0,0,0
0.0,8.0,551,2.0,1,0,0,0,0
4.0,7.0,638,16.0,1,0,0,0,0
1.0,10.0,550,35.0,0,0,0,0,0
5.0,13.0,593,13.0,0,0,0,0,0
8.0,35.0,585,5.0,0,0,0,0,0
1.0,10.0,712,5.0,0,0,0,0,0
3.0,5.0,550,33.0,1,0,0,0,0
0.0,4.0,553,19.0,0,0,0,0,0
0.0,8.0,627,13.0,0,0,0,0,0
0.0,8.0,513,11.0,0,0,0,0,0
1.0,6.0,625,9.0,1,0,0,0,0
0.0,6.0,592,12.0,1,0,0,0,0
0.0,4.0,550,25.0,1,1,1,1,1
3.0,6.0,604,25.0,1,0,0,0,0
2.0,8.0,609,7.0,0,0,0,0,0
5.0,25.0,628,10.0,0,0,0,0,0
2.0,18.0,600,10.0,1,1,1,1,1
1.0,15.0,613,34.0,1,1,1,0,0
0.0,8.0,618,40.0,1,1,1,1,1
1.0,14.0,600,13.0,1,0,0,0,0
5.0,8.0,568,40.0,0,0,0,0,0
30.0,52.0,602,18.0,0,0,0,0,0
0.0,7.0,593,29.0,0,0,0,0,0
10.0,30.0,632,10.0,0,0,0,0,0
0.0,13.0,589,28.0,0,0,0,0,0
0.0,8.0,597,45.0,1,1,1,1,1
17.0,40.0,698,8.0,0,0,0,0,0
5.0,10.0,566,29.0,1,1,1,1,1
0.0,7.0,574,40.0,1,1,1,1,1
6.0,7.0,550,25.0,0,0,0,0,0
1.0,9.0,582,5.0,1,1,0,0,0
3.0,25.0,647,13.0,1,0,0,0,0
8.0,18.0,569,14.0,0,0,0,0,0
6.0,28.0,584,55.0,0,0,0,0,0
11.0,37.0,598,15.0,0,0,0,0,0
4.0,18.0,606,17.0,0,0,0,0,0
2.0,5.0,576,49.0,0,0,0,0,0
0.0,1.0,622,20.0,0,0,0,0,0
0.0,8.0,593,9.0,1,1,1,1,1
17.0,29.0,628,33.0,0,0,0,0,0
35.0,48.0,591,23.0,1,1,1,1,1
0.0,8.0,610,3.0,0,0,0,0,0
3.0,14.0,576,23.0,1,0,0,0,0
2.0,15.0,611,17.0,1,1,1,1,1
3.0,10.0,627,55.0,0,0,0,0,0
0.0,34.0,627,8.0,1,1,1,1,1
11.0,46.0,617,11.0,1,1,1,1,1
3.0,21.0,601,49.0,0,0,0,0,0
0.0,6.0,579,23.0,1,1,1,1,1
7.0,18.0,570,25.0,1,1,1,1,1
0.0,3.0,620,28.0,1,1,1,0,0
0.0,7.0,555,25.0,1,1,1,1,1
6.0,13.0,580,12.0,1,0,0,0,0
3.0,14.0,679,15.0,0,0,0,0,0
17.0,36.0,550,28.0,1,1,1,1,1
2.0,3.0,595,22.0,0,0,0,0,0
16.0,35.0,657,33.0,1,1,1,1,1
11.0,23.0,622,7.0,0,0,0,0,0
4.0,19.0,646,7.0,1,0,0,0,0
0.0,0.0,682,25.0,0,0,0,0,0
0.0,10.0,583,43.0,1,1,1,1,1
5.0,35.0,582,28.0,0,0,0,0,0
0.0,5.0,630,23.0,0,0,0,0,0
7.0,17.0,562,40.0,0,0,0,0,0
